award_nominee_1,award_nominee_2
952,1495
969,977
3084,952
2894,6844
3081,1046
2894,6843
892,3374
3099,492
807,6010
2941,5393
2890,6985
988,414
957,1377
976,789
966,1100
902,3094
875,3932
902,3096
956,1422
817,5734
2725,12123
2894,6883
2844,8439
2940,5465
3107,290
957,1405
957,1406
980,696
7336,268
2894,6900
3098,575
963,1225
3106,330
962,1258
995,235
5215,490
967,1114
3096,652
876,3935
3084,1025
892,3445
3099,575
2917,6216
964,1225
956,1476
902,3153
3096,676
7336,308
967,1141
3085,1025
988,497
967,1148
3010,3351
963,1274
962,1306
956,1493
3084,1061
967,1153
957,1466
956,1499
2990,3982
965,1224
7336,332
3081,1166
3090,892
3096,706
974,952
892,3495
3084,1079
875,4024
2894,6978
963,1303
964,1274
995,318
957,1496
979,816
2987,4105
3085,1079
966,1231
3084,1118
995,344
3005,3578
3094,821
3107,418
3084,1133
996,327
3084,1135
983,731
3086,1075
3098,705
983,740
983,741
3085,1118
5213,689
968,1215
826,5624
966,1284
3107,451
3085,1135
995,393
3084,1172
988,612
892,3589
3095,835
3111,338
3095,837
892,3595
2850,8438
3096,811
967,1275
969,1215
977,969
998,320
3090,1010
806,6277
2926,6098
966,1324
2989,4146
3085,1172
3081,1299
2953,5268
983,805
3086,1150
3094,902
3097,811
992,532
1000,284
3090,1035
3107,510
902,3336
962,1477
3084,1232
3096,859
3008,3590
2992,4090
997,400
3005,3689
2865,8029
902,3351
2994,4036
966,1376
983,850
5212,825
962,1501
3113,363
875,4206
1004,208
3085,1232
3090,1080
967,1357
983,863
2989,4212
3016,3375
965,1422
3098,837
3096,902
3091,1057
2853,8440
7341,391
3090,1097
3090,1100
996,479
909,3177
3090,1103
988,730
3084,1291
2994,4081
988,734
3116,301
998,426
3096,926
902,3404
3108,553
876,4210
902,3405
995,523
3091,1085
3099,837
988,742
3081,1396
973,1211
3010,3599
910,3168
3114,388
966,1440
996,511
998,450
2866,8077
3085,1291
3114,392
882,4047
3020,3306
996,514
3084,1324
965,1476
3118,272
825,5819
2957,5269
3095,992
3026,3131
988,775
997,500
2866,8097
3114,412
817,6085
965,1499
2953,5412
983,948
2899,7091
3085,1324
967,1449
3096,996
968,1428
983,967
882,4099
968,1434
3001,3946
5222,635
3107,662
997,539
980,1067
2943,5754
982,1014
3026,3192
2930,6167
976,1210
969,1428
3096,1032
969,1434
5235,264
826,5871
1009,200
1004,356
3106,731
2866,8178
3097,1016
3106,740
3106,741
3002,3969
1002,438
3096,1062
977,1215
2961,5248
3021,3391
982,1070
968,1505
821,6063
982,1074
5220,768
899,3652
899,3653
2906,6978
996,652
2906,6979
982,1090
988,904
3097,1062
3118,418
5222,730
3084,1476
2954,5510
3088,1360
988,928
997,649
3106,805
2961,5300
7336,753
979,1212
2930,6268
973,1399
3084,1495
980,1185
1004,444
996,696
3119,418
3007,3890
3118,451
3096,1133
3085,1476
1011,235
5215,982
992,825
7335,803
2996,4242
996,706
3089,1360
1006,400
983,1114
992,835
3109,744
899,3730
3106,850
3026,3330
3119,451
982,1161
7341,640
3015,3679
3095,1198
2924,6499
5215,1014
3001,4119
983,1141
792,7063
997,712
983,1148
3114,625
826,6018
983,1153
3096,1189
899,3767
7352,332
5226,705
7336,832
3118,519
3112,705
980,1262
3096,1204
3022,3498
992,892
1002,589
2873,8125
980,1274
1011,318
3020,3575
899,3792
5215,1070
3095,1256
3115,638
1002,606
5215,1074
982,1229
3113,705
5241,272
800,6873
976,1420
3016,3718
3016,3717
982,1238
2866,8371
976,1429
1011,344
1006,500
980,1308
906,3604
997,790
3106,948
3116,638
7356,268
996,822
996,831
3095,1301
7355,310
977,1428
5235,505
2917,6824
7341,753
2961,5463
3106,967
977,1434
827,6085
1014,297
1011,393
3126,363
3106,983
996,859
1004,614
903,3746
980,1363
3032,3290
3114,750
983,1275
5215,1161
3022,3618
3022,3619
3095,1361
982,1332
996,902
3029,3416
995,938
3118,662
995,942
1013,388
1013,390
1013,392
3095,1388
3095,1390
2969,5296
909,3622
995,956
3031,3377
926,3096
3117,710
2959,5611
996,929
3015,3876
7322,1439
7335,1034
1013,412
3015,3887
3119,662
5215,1229
2971,5257
1010,512
3002,4298
3107,1046
983,1357
1010,520
1002,769
5215,1238
5237,564
3127,440
7352,535
988,1216
3103,1188
5212,1353
995,1011
2919,6905
980,1481
3106,1114
3098,1361
1011,523
5218,1183
995,1022
3128,440
995,1026
3114,875
7355,481
1016,380
859,5248
2943,6181
1019,290
898,4042
929,3081
7360,333
3106,1141
7335,1116
3027,3590
3099,1361
3037,3282
996,1019
3106,1148
2916,7038
1006,712
917,3474
3106,1153
3042,3141
997,1006
3117,825
1019,327
5241,519
859,5290
983,1449
5215,1332
1014,490
903,3935
859,5300
5222,1118
7352,629
3114,935
3016,3975
3107,1166
992,1198
3016,3989
1022,272
3031,3528
1017,432
826,6355
997,1057
3038,3323
3023,3793
3134,356
7355,574
1006,790
5224,1110
1005,827
3020,3904
5222,1183
5235,781
7336,1190
1000,1001
7335,1222
898,4170
7355,617
3017,4023
3105,1294
929,3217
5222,1209
3014,4126
3106,1275
1013,625
903,4037
3041,3296
2899,7705
1026,235
2883,8205
3032,3589
988,1419
7336,1246
992,1301
3114,1059
3024,3849
997,1154
2978,5279
3108,1251
3035,3517
1019,479
932,3177
5226,1139
1023,358
3114,1078
3126,705
3023,3901
3107,1299
3117,992
988,1461
3045,3231
859,5463
7360,545
3115,1069
1012,726
935,3114
1019,511
997,1194
3116,1041
1019,514
3041,3370
3106,1357
3134,505
1026,318
3040,3422
3134,510
7352,824
923,3517
1017,611
992,1388
1030,212
3118,1022
1013,743
2962,5861
5236,903
1026,344
1013,750
7336,1350
1002,1096
935,3173
3014,4264
1009,883
997,1255
1004,1040
7335,1387
931,3306
3107,1390
995,1332
3107,1396
926,3474
7356,753
3040,3475
1006,997
3022,4038
3114,1187
7336,1386
3037,3580
3107,1412
7336,1387
2895,7988
1026,393
7368,402
3106,1449
1022,519
1010,892
903,4210
995,1362
1025,440
3041,3480
7335,1445
7341,1260
992,1475
3137,518
1006,1057
7336,1435
7360,706
997,1349
3038,3616
3138,518
996,1384
7336,1457
7373,308
5237,995
5248,652
865,5457
917,3849
1013,875
1011,938
997,1373
1011,942
1019,696
997,1379
3042,3522
1028,425
5237,1022
1023,583
7368,497
1011,956
1017,773
1030,374
2961,6053
1030,378
3056,3107
3114,1313
7341,1350
3117,1225
5248,706
1023,613
3043,3530
3032,3871
1026,523
3044,3505
1011,995
3118,1216
1013,935
995,1493
941,3168
1006,1154
931,3480
7373,391
1010,1035
3137,635
3117,1254
7341,1387
7341,1386
3041,3612
996,1473
5234,1166
1035,266
1017,825
923,3739
1002,1291
3045,3496
3140,555
917,3935
2971,5796
997,1459
923,3754
1011,1026
3038,3733
3138,635
3138,638
1002,1320
1012,1013
2891,8305
1010,1080
7341,1435
1002,1337
917,3973
3116,1342
873,5340
7341,1443
7373,449
1010,1097
2990,5256
1010,1100
1019,822
824,6868
1010,1103
929,3616
2908,7804
1014,982
1017,891
5241,1022
7355,1025
1019,831
3034,3904
1033,398
3127,1025
934,3473
934,3474
3035,3889
3112,1501
2933,7052
3042,3678
1040,208
1002,1388
1032,460
3128,1025
1035,373
2908,7845
934,3506
3125,1120
3042,3693
3117,1370
1005,1308
3113,1501
1023,759
2936,6995
5248,859
2933,7091
5245,952
873,5415
3114,1479
3127,1079
1000,1480
1013,1078
7376,435
3059,3192
7373,535
948,3106
3056,3297
1002,1437
934,3547
5236,1261
1014,1070
1014,1074
852,6098
3128,1079
932,3622
5236,1273
5248,902
3056,3318
1019,929
3140,716
3127,1118
3131,998
1023,815
824,6987
7360,982
3118,1412
3127,1135
1006,1349
2971,5972
3057,3306
1023,830
3128,1118
5236,1310
922,3975
1016,1062
1035,473
1006,1373
929,3763
1006,1379
3050,3552
3119,1412
3128,1135
3026,4301
3127,1172
1030,647
3119,1426
1019,996
3063,3171
1017,1062
1013,1187
1014,1161
2942,6930
1040,356
952,3084
1035,512
873,5535
1043,266
3043,3802
1035,516
3128,1172
2971,6038
1035,520
7368,814
5248,996
1013,1214
5241,1216
882,5278
1041,350
948,3237
948,3238
948,3242
934,3676
3127,1232
926,3935
1006,1459
1005,1490
1017,1127
2979,5849
1014,1229
3128,1232
3134,1046
1014,1238
1009,1393
2991,5486
5237,1396
865,5859
2920,7689
1022,995
3041,3943
926,3973
859,6053
1040,444
3130,1189
3127,1291
859,6063
3030,4302
2995,5389
3030,4303
7368,899
1011,1362
1043,373
7373,753
1038,532
1017,1183
2986,5682
1009,1441
1043,388
7373,771
3128,1291
1043,392
3127,1324
2991,5543
1019,1142
1017,1205
832,6944
923,4124
3057,3507
3036,4160
1017,1216
1026,938
1043,412
1026,942
1038,571
3128,1324
873,5697
1026,956
1014,1332
7356,1350
2997,5405
3134,1166
2925,7645
7360,1233
7373,832
2994,5521
3057,3568
1026,995
868,5898
1043,473
868,5899
3139,1034
3001,5312
7356,1386
1030,885
2977,6064
1026,1011
1038,639
952,3307
7376,777
3051,3780
1035,743
3041,4095
1035,745
2953,6822
934,3880
1011,1493
1023,1122
1035,752
3140,1034
3133,1250
2960,6618
5252,1110
1043,516
952,3338
7368,1052
1040,614
1025,1079
1017,1327
3153,652
1039,655
1035,781
7356,1435
2952,6892
998,1930
3063,3450
3126,1501
7356,1443
3127,1476
2954,6843
948,3495
1023,1171
952,3379
1025,1118
3161,440
1023,1184
1022,1216
7368,1106
3128,1476
1023,1196
1025,1135
3168,239
3153,706
952,3405
3134,1299
946,3595
950,3474
2908,8311
1035,845
1046,510
1025,1172
7368,1150
3133,1360
1053,310
5283,257
3168,283
1035,871
1043,625
873,5898
873,5907
926,4265
1035,892
947,3620
3065,3498
5245,1459
1023,1268
3075,3192
3049,4007
3077,3141
962,3177
3152,825
1025,1232
3063,3590
3134,1396
3153,811
3049,4037
1023,1309
1030,1093
892,5376
7398,308
1021,1387
7360,1483
7368,1235
3134,1426
2981,6171
3061,3693
1032,1062
1032,1065
1033,1034
1019,1473
3153,859
1025,1291
1038,892
1043,743
2956,6978
1043,745
1023,1366
3002,5553
3081,3107
1058,284
967,3106
1043,750
931,4223
1043,752
3168,413
5253,1316
1035,1010
2995,5789
1025,1324
3056,3904
875,5981
3081,3134
3153,902
966,3168
2923,8036
1023,1405
3011,5315
952,3612
1035,1043
5253,1374
1060,284
7373,1190
2919,8199
3084,3085
1028,1293
1053,520
968,3156
1035,1080
1041,896
1057,400
2922,8122
1026,1362
1043,845
1032,1189
1035,1097
3085,3084
1035,1100
3145,1228
1035,1103
2919,8237
3143,1294
968,3186
3084,3128
969,3156
1032,1204
3084,3127
3063,3783
3168,527
1035,1117
3153,996
1043,871
1043,875
3177,259
902,5248
3151,1068
3081,3241
3173,388
946,3890
3081,3240
3139,1445
1059,388
968,3209
3086,3087
7373,1260
967,3242
3173,392
968,3212
3063,3802
1059,392
2925,8082
969,3186
3085,3127
3085,3128
3083,3190
903,5236
3084,3161
3150,1117
3081,3261
948,3848
3173,412
1059,412
3152,1068
1040,1004
969,3209
3087,3086
7370,1387
952,3738
3140,1445
1025,1476
969,3212
1035,1170
1031,1294
3084,3187
3085,3161
902,5300
7373,1311
1057,500
7376,1222
3049,4285
1043,935
3156,969
3081,3301
3156,977
3088,3089
3085,3187
5273,893
963,3435
3151,1144
903,5299
5270,996
1057,526
3063,3876
966,3351
1026,1493
1062,380
7370,1443
1061,414
1035,1221
903,5315
2962,7026
3089,3088
3086,3183
3152,1144
1030,1390
2923,8247
1032,1332
968,3316
3088,3133
968,3319
3150,1216
1038,1151
1035,1245
3152,1158
3011,5531
1035,1254
7373,1387
7373,1386
3168,669
3087,3183
3168,672
3087,3182
1038,1167
1062,425
3084,3281
1061,460
3081,3379
1062,432
969,3316
3089,3133
969,3319
1068,251
5278,814
1035,1280
1043,1035
3072,3674
1038,1193
7383,1109
2966,6963
1038,1198
7373,1420
3085,3281
3077,3531
2971,6816
944,4121
950,3935
1043,1059
5284,665
7373,1443
3177,447
1061,514
7375,1387
1038,1230
1043,1078
3088,3220
1038,1234
957,3746
7373,1457
968,3406
1041,1145
3145,1456
3084,3352
3177,469
1038,1244
2919,8468
950,3973
3130,1930
902,5463
7315,3276
3084,3368
3084,3369
1061,549
977,3156
3090,3190
962,3622
3089,3220
969,3406
2921,8431
3090,3191
3084,3379
1062,526
1043,1117
7400,655
3173,625
3085,3352
1059,625
1035,1369
1061,564
3131,1930
2933,8068
3063,4042
3088,3274
1070,297
3085,3369
3085,3368
1033,1445
3084,3403
977,3186
3084,3405
1065,460
3090,3223
1057,712
3161,1025
1068,373
3081,3511
3092,3172
3092,3171
3081,3512
963,3636
5290,575
1072,259
3056,4292
5278,948
1035,1408
7315,3341
977,3209
857,6930
3077,3647
3089,3274
1034,1445
3168,828
977,3212
1038,1321
3085,3403
974,3307
5284,768
893,5819
7315,3342
3095,3099
3095,3098
966,3565
3082,3506
3168,839
1038,1337
3156,1215
5299,318
3081,3542
1043,1187
1062,611
3161,1079
3095,3127
3096,3097
3177,590
3188,253
1043,1214
3090,3293
3081,3575
1035,1464
5299,354
1043,1221
3090,3302
1057,790
968,3549
7398,832
3017,5569
1038,1382
3093,3219
3097,3096
1065,555
3087,3411
1059,743
1038,1395
3161,1118
1035,1490
3189,253
5290,657
3173,750
1043,1245
983,3106
1059,750
3168,910
969,3549
3161,1135
1061,698
1074,297
1046,1166
3096,3153
1038,1416
7315,3441
3090,3344
3095,3189
3095,3188
3098,3095
5297,466
968,3592
3098,3099
977,3316
1062,683
977,3319
1053,966
1062,689
968,3603
1043,1280
952,4101
1041,1342
3168,941
1060,760
7390,1138
3097,3153
5299,428
1062,702
3023,5449
3099,3095
3090,3374
3161,1172
5290,710
5299,436
969,3592
3099,3098
3168,966
5275,1183
969,3603
7322,3265
3086,3518
3177,705
3096,3216
3096,3215
1070,490
3177,710
5299,463
3100,3101
5299,477
1070,503
1058,876
1061,785
3084,3612
1072,447
3087,3518
7416,391
3097,3215
1062,766
3161,1232
3097,3216
1067,612
1070,523
977,3406
1062,773
3101,3100
1065,682
1068,589
3177,747
3090,3445
3173,875
1072,469
1043,1369
3154,1463
3187,440
7412,535
1059,875
3095,3297
3094,3336
983,3242
2982,6810
7412,553
1046,1299
3156,1428
3094,3351
3102,3103
3156,1434
1060,876
3081,3763
3101,3143
5297,600
3096,3297
5290,821
1043,1408
1053,1100
3077,3892
3161,1291
3088,3553
1062,825
3071,4085
3090,3495
3093,3413
7407,753
3103,3102
3098,3260
3173,935
3098,3259
893,6080
1059,935
1057,997
3085,3667
3097,3297
1057,1006
1067,696
5290,859
3089,3553
3035,5226
952,4266
3161,1324
3094,3404
3098,3280
3094,3405
1074,490
5299,593
903,5797
3104,3105
1062,873
7325,3331
1062,876
3084,3738
7412,640
1078,388
7415,553
1043,1475
1078,390
1078,392
7322,3437
968,3806
3177,865
5283,1117
7415,559
5299,619
3093,3473
1072,590
1046,1396
3104,3136
1043,1490
3104,3135
3105,3104
3100,3262
1062,903
3177,874
7416,535
1078,412
3104,3144
3104,3143
977,3549
7423,332
7416,553
1061,952
3090,3589
969,3806
992,3095
5299,653
1053,1206
3104,3162
1057,1085
3104,3163
3105,3135
3105,3136
3030,5461
3006,6205
1058,1060
3101,3262
3177,909
3107,3081
1044,1497
3105,3143
3105,3144
7329,3274
3190,512
992,3117
1059,1043
5284,1139
3190,520
3105,3154
977,3592
3105,3163
1053,1239
5300,652
3009,6141
3096,3443
3177,932
3174,1028
3173,1059
3095,3477
3095,3478
3095,3481
1079,440
3096,3450
977,3603
3096,3451
3101,3299
3101,3298
7415,640
3104,3210
3088,3706
3191,512
3107,3119
3107,3118
3104,3211
3095,3493
5222,3095
3168,1231
897,6098
3191,520
3173,1078
1059,1078
3095,3500
5290,996
3097,3443
7415,655
3088,3721
3105,3194
3177,962
5283,1216
3107,3134
7336,3109
7412,753
1060,1058
1057,1154
3104,3235
1081,414
3197,356
3105,3211
7416,640
3089,3706
3105,3210
5212,3428
2947,8108
3161,1476
5300,706
5299,738
1072,705
7335,3159
1065,923
1062,1016
3032,5481
1062,1017
992,3188
7322,3567
992,3189
1072,710
3089,3721
3104,3258
3097,3474
3162,1463
3105,3235
1062,1032
3168,1284
3105,3236
7335,3180
3198,356
3104,3270
5278,1410
3093,3615
2941,8327
1068,859
996,3096
5290,1056
3096,3531
3095,3565
7335,3195
7398,1246
3105,3258
1072,747
3098,3477
3105,3262
1089,223
3105,3270
3106,3242
1081,481
1080,512
2949,8108
3168,1324
2991,6811
3098,3493
2990,6844
1080,520
1060,1144
5290,1085
3096,3568
3095,3599
982,3565
3099,3477
3173,1187
902,6053
1059,1187
3105,3298
7335,3245
3107,3241
1081,510
3107,3240
3043,5224
3104,3335
3096,3583
1061,1133
3177,1072
3099,3493
7335,3246
7336,3221
996,3153
3105,3313
7329,3442
7400,1246
3042,5269
3097,3568
3107,3261
2988,6950
982,3600
1059,1214
3096,3604
1078,625
3075,4257
3168,1376
1065,1032
1062,1127
3112,3113
2940,8445
3105,3335
7315,3895
1088,327
1067,980
2992,6844
979,3711
3112,3126
3094,3689
998,3131
3104,3383
7341,3109
7341,3108
3107,3297
995,3233
7429,391
3113,3112
3107,3301
5224,3208
5290,1162
923,5473
923,5475
5300,859
977,3806
996,3217
982,3651
3177,1142
3113,3126
1093,212
1072,865
3110,3226
5218,3416
3107,3318
2992,6883
1062,1179
3105,3383
5299,903
5319,288
3079,4190
1072,874
923,5494
7329,3519
3168,1440
1062,1189
2962,7825
3112,3177
7329,3520
3105,3397
3015,6187
2992,6900
1057,1349
1052,1505
7315,3959
3012,6282
3096,3677
3101,3526
923,5511
1062,1204
5285,1366
5288,1273
3188,835
5300,902
5222,3328
7335,3360
3108,3326
1062,1216
3173,1313
7336,3334
2944,8412
1057,1373
3107,3358
1072,909
7335,3363
1059,1313
1081,631
3113,3177
3112,3207
5290,1225
7329,3553
1057,1379
7398,1420
3091,3864
3171,1387
1070,982
5299,957
5215,3565
3189,835
3107,3379
1078,743
917,5734
1059,1334
1072,932
3107,3385
3110,3292
5224,3291
3112,3232
7336,3362
1078,750
3115,3138
3104,3482
2991,6985
5222,3358
3084,4101
1081,660
3114,3173
3113,3207
5290,1254
7345,3088
1089,422
5225,3282
3172,1387
1070,1014
3111,3278
3096,3745
7398,1457
1081,680
5215,3600
3082,4186
2992,6978
1072,962
3116,3138
3186,969
3113,3232
3105,3482
3020,6120
3115,3174
7335,3427
1088,479
3192,792
5224,3338
3186,977
1089,451
3177,1258
5222,3403
3110,3337
996,3336
3104,3526
3208,301
7329,3627
3111,3315
7335,3444
1057,1459
5300,996
3043,5433
3118,3107
992,3478
3096,3789
7336,3426
992,3481
1088,511
3118,3119
1088,514
3103,3584
1070,1074
3177,1295
3190,892
5215,3651
3105,3526
3105,3529
1068,1144
992,3500
3105,3535
1089,495
1060,1396
1093,374
3177,1306
1089,499
3119,3107
1093,378
3119,3118
5290,1354
1074,982
1062,1355
3191,892
3051,5232
3096,3840
3097,3808
3096,3839
3188,992
3187,1025
3109,3442
7347,3141
7341,3325
5290,1370
1059,1462
3107,3511
1078,875
3107,3512
903,6301
7341,3334
3101,3703
3112,3361
5290,1384
7335,3528
7325,3838
3173,1479
3120,3121
5319,492
1074,1014
1059,1479
7335,3532
5290,1390
1089,551
7407,1304
3189,992
5297,1183
992,3565
1001,3289
7429,629
3107,3542
7341,3362
7335,3548
3095,3917
3113,3361
3116,3269
1070,1161
3120,3148
3084,4266
3121,3120
1073,1074
1067,1262
3187,1079
7347,3192
3026,6069
5297,1204
995,3498
992,3595
1065,1332
923,5736
996,3474
1067,1274
7335,3577
7329,3762
1078,935
996,3477
3107,3575
3111,3450
982,3916
3104,3672
7336,3554
7315,4205
3110,3488
3121,3147
1070,1191
3113,3395
3113,3394
5290,1447
3190,1010
1005,3208
3121,3148
1074,1070
3197,801
1080,892
1072,1142
3096,3936
7336,3574
3187,1118
5225,3476
1089,623
1061,1495
7315,4226
7341,3426
3120,3206
3190,1035
3027,6088
5319,575
3187,1135
3191,1010
7407,1387
1070,1229
1010,3090
5224,3530
3120,3222
3120,3221
3112,3469
3112,3472
1070,1238
974,4215
7341,3444
1062,1492
3098,3911
1096,438
982,3973
3105,3696
1081,906
1062,1495
7412,1251
3191,1035
3105,3703
3121,3206
1088,696
7412,1260
3177,1477
7329,3837
1078,1013
3190,1080
3124,3125
3187,1172
7347,3282
3113,3469
5297,1303
996,3561
3121,3222
1089,680
926,5734
1067,1363
3113,3472
1005,3289
7429,753
3186,1215
7415,1190
3177,1501
1073,1188
3190,1097
3190,1100
7329,3861
1074,1161
7417,1138
1070,1288
3190,1103
1078,1043
1000,3462
995,3618
3125,3124
995,3619
7335,3688
7444,308
3110,3591
3191,1080
3095,4056
3109,3627
7412,1304
3120,3285
3121,3257
1079,1025
2953,8466
992,3723
1075,1150
5307,1032
992,3724
1078,1059
995,3632
3118,3358
3191,1097
3126,3112
3115,3453
3125,3142
7329,3888
3126,3113
3127,3085
3191,1100
3127,3084
3191,1103
3188,1198
1072,1258
1080,1010
3121,3277
996,3616
3187,1232
3127,3095
934,5541
1089,739
5297,1361
7336,3687
3121,3285
7341,3539
1010,3190
5299,1305
3007,6818
1093,618
1010,3191
1070,1331
1070,1332
5213,3978
5215,3916
3120,3324
3118,3385
7415,1251
917,6085
3119,3358
7341,3550
7336,3705
7336,3704
3108,3701
3110,3639
5241,3118
3128,3084
1080,1035
7341,3554
7415,1260
3128,3085
7331,3862
1097,512
3115,3491
5222,3711
995,3676
934,5567
3189,1198
1074,1229
7412,1360
1072,1295
1097,520
7412,1365
3109,3687
1093,647
3127,3128
3108,3720
934,5577
3119,3378
1074,1238
1010,3223
7352,3228
7341,3574
3118,3416
3119,3385
7341,3573
1072,1306
3108,3728
992,3787
3121,3324
7416,1251
7412,1386
3126,3177
3187,1291
3116,3491
3056,5351
7412,1387
3045,5694
3119,3403
3006,6905
3112,3622
3014,6660
1067,1481
3128,3127
7415,1304
3127,3161
7352,3256
5215,3973
1096,589
1079,1118
995,3724
5299,1377
5330,414
7352,3274
1080,1097
7335,3799
3126,3207
987,3981
1080,1100
1089,821
1096,606
1080,1103
3115,3555
3110,3709
1079,1135
3207,705
3187,1324
3127,3187
5235,3377
7355,3192
3113,3622
3113,3625
1016,3097
7416,1304
3129,3130
3188,1301
3128,3161
5315,903
3126,3232
7325,4133
1010,3293
7329,4014
1078,1187
5299,1406
7341,3640
7329,4012
7336,3801
3125,3271
7412,1443
7335,3830
1100,512
1010,3302
3108,3801
7336,3803
7352,3311
7415,1365
992,3868
3128,3187
1100,520
7412,1457
934,5667
3189,1301
3130,3129
1074,1332
7352,3326
1078,1214
7352,3328
3048,5682
7360,3086
5222,3831
3119,3489
7341,3683
7336,3838
7329,4055
3109,3803
7352,3346
7352,3345
7356,3221
7341,3684
7329,4063
7416,1365
5319,837
3116,3594
3040,5950
1010,3344
3186,1428
1088,929
7329,4064
3122,3413
3186,1434
3111,3761
5299,1466
7352,3360
948,5278
5226,3730
7336,3862
3217,479
3120,3486
7341,3705
7352,3363
7336,3866
7416,1386
5224,3802
1070,1502
7322,4299
3133,3089
3133,3088
929,5877
3188,1388
3119,3527
3127,3281
1079,1232
7417,1360
7355,3282
7352,3382
1010,3374
1004,3560
1004,3561
3107,3904
5299,1496
1085,1057
7341,3728
3217,505
7355,3301
3108,3886
3134,3081
3217,511
3121,3486
3132,3148
7336,3898
2962,8418
5225,3802
7336,3897
1103,512
3217,514
7440,677
1072,1477
7336,3906
3189,1388
3108,3899
7352,3409
1103,520
7415,1455
3128,3281
5248,3096
1081,1205
7336,3909
3131,3192
5247,3141
3134,3107
998,3789
7352,3426
3109,3887
1078,1313
998,3793
3132,3176
3132,3175
7360,3181
1072,1501
1004,3612
7335,3959
3187,1476
5225,3833
3208,827
1079,1291
992,3989
3120,3557
3014,6846
1096,769
3130,3253
948,5360
898,6911
5307,1303
3109,3909
948,5364
1078,1334
3135,3105
3127,3352
3135,3104
1010,3445
3115,3731
5250,3083
3115,3730
3108,3950
3108,3949
7341,3803
7415,1508
3126,3395
5248,3153
1004,3644
1093,885
3127,3369
3127,3368
7341,3804
1090,982
1079,1324
3128,3352
3136,3104
3136,3105
1017,3259
7356,3362
3115,3758
3108,3977
926,6085
948,5404
3135,3144
7356,3363
7450,449
7335,4021
3108,3986
7341,3832
3128,3368
1022,3118
7329,4209
3120,3617
3128,3369
3127,3403
5321,926
7336,3997
1010,3495
1019,3217
5247,3219
3133,3220
3135,3163
3135,3162
7329,4222
3117,3723
3113,3847
3107,4032
7336,4003
7329,4220
3134,3198
3134,3197
3117,3724
7352,3513
5241,3416
3116,3758
3136,3144
3136,3143
3121,3617
3128,3403
2966,8428
1081,1327
3126,3469
3126,3472
3014,6948
7335,4066
5336,505
3112,3914
3137,3138
3116,3792
7356,3426
3134,3233
3133,3264
7336,4050
3134,3240
3138,3116
3138,3115
1025,3084
1025,3085
3130,3365
3134,3241
3135,3210
7341,3898
7341,3897
3133,3274
3115,3835
5308,1390
1114,330
7329,4273
5218,4183
7341,3906
3120,3686
5250,3190
7329,4282
7329,4281
1012,3501
3016,6913
7352,3574
3218,653
7450,535
3117,3787
5224,4003
1089,1119
3134,3261
3138,3137
1078,1462
7329,4290
3113,3914
3135,3235
7336,4077
1017,3358
3119,3732
2971,8323
3217,696
952,5377
3223,512
5340,425
3136,3211
1117,266
7431,1138
7329,4300
1078,1479
7341,3933
3223,520
1097,892
1010,3589
1025,3127
3119,3748
3121,3686
1025,3128
3132,3349
3061,5553
3135,3258
3209,969
7352,3609
7341,3950
1093,1030
7341,3949
3139,3140
3136,3236
3115,3889
3208,1005
3209,977
3109,4077
3134,3301
7336,4113
1016,3428
1079,1476
7335,4151
998,3992
1004,3808
3233,247
952,5422
7352,3627
1025,3161
3136,3258
7336,4128
7336,4127
3215,811
7429,1250
1000,3940
3140,3139
3136,3270
3133,3363
3116,3889
5315,1261
5235,3738
5237,3676
996,4079
3117,3868
7341,3997
1025,3187
3134,3343
5315,1273
934,6010
3135,3314
998,4027
957,5299
935,5981
1016,3474
7352,3670
3216,811
3015,7042
1002,3912
3108,4164
3132,3419
1096,1002
3141,3142
3071,5312
7345,3895
7336,4173
3135,3335
7426,1387
7336,4182
3134,3369
7335,4211
7444,832
3126,3622
1100,892
5340,526
3142,3125
3132,3438
3132,3437
7336,4183
3231,371
3143,3101
7352,3692
3197,1426
5224,4124
3134,3379
3071,5332
1014,3565
3127,3599
3143,3105
3143,3104
7355,3602
5219,4283
1005,3849
5315,1310
7347,3855
3212,969
7352,3706
3142,3141
7370,3147
1000,4010
7336,4205
3113,4047
3051,5969
3212,977
3217,822
1097,1010
7360,3463
7366,3277
5225,4118
3217,831
3130,3528
7450,677
3058,5761
3109,4183
3198,1426
7360,3478
1089,1269
3108,4215
3056,5829
3135,3383
3144,3104
1014,3600
3144,3105
3143,3136
1101,903
1107,718
3112,4099
3137,3327
1116,442
3208,1127
7429,1350
1028,3174
1097,1035
7436,1138
5344,451
3120,3863
7335,4272
5259,3096
3141,3219
7336,4244
7368,3251
1025,3281
5224,4183
3142,3192
7336,4247
3142,3193
5235,3849
7370,3199
5327,995
3144,3136
3144,3135
3113,4099
7373,3109
1108,718
1100,966
3069,5465
1116,472
3138,3327
3134,3458
7373,3120
2976,8357
5224,4210
1103,892
1097,1080
1032,3096
7335,4311
3208,1183
1031,3136
1118,440
1022,3416
7450,753
1117,473
7352,3801
3137,3395
3137,3394
5253,3338
1097,1100
3143,3210
1100,1010
1097,1103
1119,422
3132,3558
3132,3557
3134,3495
3132,3559
3141,3282
3217,929
3132,3566
3141,3289
3132,3567
3141,3291
1025,3352
3134,3512
3134,3511
3143,3235
3135,3482
7356,3705
