nominated_for_1,nominated_for_2
6523,424
6511,794
6487,1545
6520,522
6445,2847
6439,3030
6440,2999
6530,209
6468,2138
6440,3006
6464,2262
3311,1699
6489,1486
6530,215
6470,2074
6456,2508
6444,2880
6525,368
6452,2637
6487,1552
6466,2202
6445,2852
6470,2084
6440,3014
6530,224
3265,3133
6439,3044
6444,2889
3265,3132
6447,2795
6468,2144
6453,2615
6439,3049
6520,538
6473,1994
6473,1993
6444,2891
6444,2898
6525,387
6439,3051
6512,788
6477,1873
6485,1624
6470,2094
6485,1628
6445,2875
3305,1909
6447,2812
6444,2909
6458,2475
6452,2660
6493,1389
6464,2294
3306,1886
6468,2169
6523,464
6440,3037
6466,2230
3166,6228
6473,2012
6443,2942
6485,1647
6464,2298
6439,3072
6452,2669
6488,1552
6477,1893
6455,2574
6505,1031
6468,2178
6479,1835
1183,2172
6452,2671
6520,563
6439,3080
6440,3049
6510,879
6530,258
6439,3079
6458,2489
6468,2179
2125,5745
6468,2185
6455,2587
6468,2190
3281,2681
6477,1910
6468,2189
6456,2561
6367,5319
6451,2715
6523,482
6470,2125
6470,2132
1245,265
3306,1909
6477,1913
1228,794
6455,2601
6458,2508
6450,2756
6456,2569
6473,2041
6444,2940
6445,2909
6440,3063
6470,2133
6513,800
6532,211
6445,2915
6513,806
6523,496
6468,2201
6444,2944
3302,2044
6473,2044
6468,2199
3167,6228
6455,2608
6470,2143
6490,1522
6523,498
6468,2203
6367,5341
6468,2209
6470,2147
6485,1682
1074,5583
6486,1649
6530,285
6520,595
3171,6112
6532,230
6455,2616
6530,291
6487,1624
6482,1778
6440,3080
3166,6272
6440,3079
6479,1870
6455,2621
6455,2620
6487,1628
6456,2589
6507,1008
6469,2185
6473,2061
6533,201
6485,1689
3272,2990
6470,2153
6483,1750
6485,1694
5312,5288
6474,2040
6452,2720
6458,2534
6462,2416
6464,2352
6445,2940
6464,2358
6468,2232
6445,2945
3289,2479
4225,6228
6449,2825
6533,221
3289,2483
3348,654
6447,2892
6473,2086
6523,536
6530,319
3282,2701
6470,2178
6468,2240
6530,317
6512,882
6468,2246
6452,2741
6447,2895
1239,504
6487,1654
3361,258
6469,2218
6444,2993
6525,480
6474,2061
6470,2185
6444,2991
3273,2990
6473,2099
6469,2222
6533,238
6523,547
6530,329
6477,1972
3282,2715
6468,2257
6488,1636
6464,2380
6485,1729
3306,1976
6474,2069
6468,2255
6532,271
6468,2262
6485,1735
4228,6166
6473,2105
6454,2694
6492,1522
6520,654
1183,2258
1172,2599
6533,250
6473,2108
6520,651
6470,2206
3282,2732
1225,963
3317,1646
4228,6177
6477,1994
6520,661
6474,2087
6452,2769
3318,1617
5422,1929
6530,349
6487,1682
6444,3022
6487,1689
6445,2991
1183,2270
6445,2990
6485,1750
6444,3020
4225,6272
6474,2089
6372,5251
6370,5319
6473,2125
6470,2218
6533,265
6513,890
6447,2936
3282,2745
6453,2749
6470,2222
6464,2408
6487,1694
6474,2097
6452,2786
6455,2693
5433,1606
6488,1668
6456,2660
6473,2132
6469,2256
6530,372
6461,2509
6452,2788
6370,5330
6525,531
6468,2298
6445,3011
6372,5273
6367,5428
6470,2240
6477,2023
6533,287
6464,2425
3306,2017
6453,2764
6456,2678
6458,2615
6525,538
6533,289
6453,2769
6468,2304
6369,5372
6507,1094
6370,5341
6468,2310
6523,604
6455,2711
3321,1563
6473,2152
6445,3020
6508,1073
5389,2995
3275,2990
6470,2250
6445,3024
6490,1635
5415,2190
6468,2321
6445,3039
6488,1706
3306,2042
6477,2046
6444,3069
6487,1735
6520,711
2248,2073
6525,563
6453,2794
6485,1802
6505,1182
6372,5305
6456,2701
6373,5273
6453,2793
6455,2731
6512,963
6473,2179
6370,5372
6523,627
6416,3943
6468,2338
6464,2462
6486,1779
6532,353
6468,2336
6474,2150
6520,723
3192,5589
6487,1753
6455,2745
6533,326
6485,1814
6487,1750
6533,324
3306,2059
3296,2369
1183,2337
6447,2997
6530,424
6464,2470
6534,298
6453,2809
6455,2746
6368,5443
6452,2839
6372,5319
6373,5288
6464,2474
6452,2846
6486,1791
6523,643
1209,1539
6464,2478
6372,5330
6452,2850
6494,1548
6419,3873
3192,5603
6453,2816
6485,1824
6487,1762
6468,2358
6470,2296
1204,1699
6445,3069
6473,2201
6483,1891
6494,1556
6468,2362
3265,3349
6477,2082
6494,1555
6520,748
6495,1522
6369,5428
6461,2582
6521,722
6491,1652
6447,3015
6511,1031
6505,1217
6487,1775
6453,2829
3280,2890
6466,2425
6470,2308
6458,2678
6375,5251
6488,1747
6374,5288
6470,2312
6456,2746
6473,2219
6467,2405
6533,357
6458,2681
6485,1844
6461,2594
3297,2372
6467,2407
6373,5321
6510,1073
6488,1762
5412,2349
6538,211
6534,334
6486,1822
6455,2782
6492,1635
6530,464
6470,2321
6533,368
5393,2941
6473,2235
6375,5273
6468,2388
6372,5363
6458,2704
6452,2890
3306,2110
6530,471
6447,3043
6456,2764
6375,5275
6367,5523
6488,1771
6461,2615
6456,2769
6470,2335
5313,5435
6373,5341
6485,1869
6372,5372
6368,5495
1166,2920
6533,387
6470,2340
6523,697
6470,2339
6447,3052
6538,230
6470,2338
6376,5251
6451,2933
6477,2127
6374,5319
6490,1723
6468,2405
6450,2962
6530,482
6453,2868
6487,1814
6452,2906
6482,1976
5306,5663
6469,2378
1206,1690
3265,3396
6372,5384
6447,3059
6461,2625
3279,2965
3199,5445
6473,2259
6487,1824
6539,211
6375,5295
3297,2411
6532,427
6468,2411
6453,2883
6530,496
6452,2914
6458,2728
6520,806
6468,2418
6452,2912
6374,5330
6372,5398
6452,2918
6451,2949
1082,5545
6456,2793
6451,2947
6530,498
6494,1613
6468,2419
6490,1743
6452,2920
6525,656
6523,725
6452,2926
1244,531
6464,2553
6483,1964
3296,2455
6525,661
6472,2304
6374,5341
6452,2923
6533,419
6468,2433
6455,2836
6368,5533
1062,6178
6487,1842
6539,230
6461,2648
6468,2431
6458,2741
6477,2152
6456,2809
6468,2437
6470,2375
3192,5689
6451,2969
6523,736
6477,2162
6538,271
6470,2378
6485,1912
6373,5384
6464,2570
3192,5695
6456,2816
6477,2165
6477,2164
5404,2660
6464,2574
3282,2910
6374,5363
6372,5424
6533,433
6452,2944
6497,1548
6375,5330
6468,2454
6369,5523
6464,2576
6533,437
3192,5705
6530,536
2258,1894
6456,2829
5438,1617
6470,2393
4249,5709
6494,1656
6468,2462
6488,1840
6533,445
6458,2770
6468,2459
6474,2280
6372,5442
6477,2187
5438,1627
5405,2651
3282,2925
6452,2959
6473,2308
6374,5384
6533,455
3201,5440
6466,2530
6492,1723
3359,547
6488,1853
6495,1635
6539,271
6477,2193
6512,1107
6525,711
3192,5728
6458,2787
5404,2694
5418,2257
6464,2599
6456,2847
6476,2227
6451,3009
6498,1552
6482,2048
6452,2977
6485,1954
6375,5363
6468,2480
6470,2417
6485,1952
6369,5548
6533,471
6458,2794
6538,313
1202,1892
6455,2893
6473,2335
6525,723
3318,1834
6375,5372
3282,2949
6458,2798
6464,2611
3306,2207
6521,851
6523,788
6470,2431
6368,5592
6494,1686
6371,5499
6379,5251
6487,1909
3281,2989
6464,2621
6373,5440
6372,5471
6533,480
5315,5471
6541,238
6375,5384
6474,2315
6485,1973
6468,2500
6464,2630
6452,3001
6542,211
6452,3006
6374,5424
6464,2634
6458,2820
6452,3005
6468,2508
6497,1609
6455,2911
6462,2694
6379,5273
6458,2823
6473,2358
1256,244
6468,2512
6458,2821
6376,5363
6456,2890
6368,5617
6458,2826
6470,2454
6379,5275
6511,1182
1185,2452
3192,5774
3290,2735
6479,2185
6456,2898
6374,5440
6530,604
6372,5501
5405,2711
6542,230
6458,2833
6538,353
5405,2709
6464,2654
6473,2375
6379,5288
6488,1909
6453,2993
1205,1842
6498,1597
3282,2994
6494,1726
6374,5445
6488,1917
6533,522
6505,1389
6376,5394
6457,2883
6456,2914
6487,1952
6373,5485
6373,5484
6533,531
6477,2266
6470,2482
3288,2821
6541,287
6511,1217
6458,2859
6452,3045
6470,2487
6451,3076
6470,2486
6468,2547
6372,5523
6539,353
6381,5251
6487,1964
6533,538
6541,289
6534,506
6378,5341
6464,2681
6374,5471
6453,3022
6485,2029
6468,2562
6482,2128
6485,2034
6379,5319
6464,2684
6483,2095
6495,1723
6370,5597
6479,2218
6471,2466
6485,2038
6530,643
6374,5479
6542,271
6494,1759
1201,2001
6468,2564
6479,2222
6370,5601
6456,2940
6382,5234
6468,2567
3297,2566
5412,2536
3192,5821
5315,5548
6470,2509
6379,5330
3282,3037
6381,5273
4165,8432
6367,5706
5312,5644
5438,1738
6468,2582
6495,1743
6474,2394
6473,2431
3181,6177
6383,5219
6455,2987
3306,2304
6501,1560
6485,2056
3208,5341
1258,258
6375,5471
6455,2991
6477,2309
6523,882
6494,1788
6470,2532
6477,2315
6380,5321
3322,1813
6381,5288
5438,1759
6538,427
6479,2256
6502,1542
6498,1665
6488,1982
6454,3036
5405,2787
4263,5421
1243,736
2248,2350
6477,2320
6453,3064
6468,2599
6487,2017
6468,2606
6370,5644
6469,2575
6368,5705
6468,2605
4166,8432
6378,5394
6379,5363
6453,3069
3265,3594
6372,5586
6458,2920
6473,2454
6538,439
3306,2325
5433,1924
3208,5368
6468,2613
6461,2829
3288,2889
6458,2926
5312,5683
6488,1995
6498,1692
6468,2622
6466,2683
6541,357
6367,5750
6483,2154
6456,2991
6468,2626
6379,5384
6483,2158
6487,2034
1170,3024
6382,5295
6498,1699
6488,2009
3306,2345
6539,427
6368,5728
6487,2038
6470,2572
6381,5330
6468,2633
6498,1702
6470,2570
6458,2942
6470,2569
6541,368
5429,2073
6468,2638
6523,930
6507,1433
6372,5618
6458,2952
6460,2888
6539,439
6375,5523
6382,5305
6456,3011
6384,5250
6371,5653
3318,1990
3289,2889
6487,2056
6372,5621
6455,3048
5487,289
6381,5341
6464,2768
6470,2582
6473,2489
6485,2116
6541,387
6456,3022
6464,2774
1216,1619
6499,1688
6468,2647
6542,353
5410,2683
6373,5597
6456,3024
3192,5905
6455,3061
6456,3030
6525,890
6487,2068
6473,2501
6470,2594
6458,2966
6468,2656
6455,3058
6375,5545
6382,5328
6538,491
6488,2040
6470,2597
6533,651
6381,5363
6461,2883
5307,5888
6379,5424
6474,2484
6533,654
6370,5706
6523,963
6502,1620
6368,5774
6477,2394
6374,5587
5444,1650
6468,2676
6504,1560
6470,2613
6375,5565
1209,1868
2247,2459
6468,2681
6488,2061
6546,262
6458,2990
6488,2060
6541,417
3297,2679
6458,2989
6519,1105
6482,2252
6466,2747
1216,1656
6488,2064
6470,2621
6373,5635
6494,1884
6488,2069
6548,209
3181,6280
6381,5384
6474,2501
6471,2594
6470,2631
6456,3064
6469,2661
6494,1886
6458,3002
6482,2257
6485,2170
6382,5363
3300,2599
6541,433
6548,215
6385,5275
6385,5273
6541,437
6373,5644
6468,2706
6472,2582
6523,1000
6487,2116
6494,1898
4271,5275
6530,788
6485,2182
6472,2585
3296,2735
6533,693
6485,2180
1254,504
6458,3024
6498,1783
6372,5689
6370,5750
6379,5471
3297,2711
5418,2493
6468,2711
6468,2718
6368,5818
6372,5692
6494,1910
6488,2095
6384,5319
4252,5876
6477,2443
6511,1389
6542,427
6374,5635
6468,2720
6458,3030
6479,2378
6504,1603
6502,1665
5418,2502
6533,711
6506,1548
1090,5601
6470,2663
6473,2569
3265,3715
6487,2141
6374,5644
6382,5396
6372,5706
6458,3039
6464,2853
3202,5669
6381,5424
6485,2200
6548,254
6504,1618
6470,2671
6367,5864
6542,439
6477,2454
6382,5399
6382,5398
6372,5708
6509,1460
6487,2149
6533,723
6384,5341
6375,5618
6488,2115
6498,1805
6468,2742
3289,2985
6504,1624
6387,5251
6485,2213
6482,2305
6370,5777
6385,5319
6474,2560
6502,1691
3265,3734
6373,5695
6485,2223
3318,2094
3377,265
6548,269
6376,5601
3309,2375
6494,1948
6498,1824
6372,5730
6502,1699
6458,3063
3336,1539
5427,2257
5429,2193
1189,2564
6432,3873
6385,5330
6532,772
6468,2762
6373,5706
6487,2170
3297,2761
6370,5803
6485,2238
6548,285
6387,5275
6467,2795
6468,2770
6500,1778
6473,2615
3377,285
6470,2707
6494,1963
6487,2180
6385,5341
6356,6240
6372,5750
6488,2154
6381,5471
6470,2712
6474,2587
6548,291
6487,2182
6470,2716
6482,2344
6532,794
1255,538
6461,2993
6372,5751
6482,2341
3300,2681
6467,2812
6374,5695
6477,2501
6385,5352
3310,2375
6373,5730
6506,1607
6372,5760
6474,2597
6464,2907
6488,2170
6494,1982
6468,2788
5429,2228
6381,5484
6541,531
6509,1522
6372,5769
6502,1738
6473,2637
6374,5706
6369,5867
6468,2798
6507,1588
6548,317
5438,1957
6369,5864
6465,2888
6386,5337
6468,2795
6487,2213
6372,5777
6488,2181
5427,2305
5446,1716
5429,2243
6506,1627
6368,5905
6373,5750
6530,882
1186,2707
6482,2376
6504,1694
6474,2623
6488,2189
6548,329
6470,2746
6387,5319
5429,2248
6379,5566
6548,334
4249,6066
6473,2658
6382,5479
6468,2813
6523,1107
6473,2656
6470,2749
6385,5384
5405,2997
6490,2136
6368,5916
6374,5730
3306,2536
3290,3032
6373,5760
6546,397
6533,800
6369,5890
6368,5921
6470,2758
210,211
6468,2819
6387,5330
6370,5864
6473,2671
6468,2826
6502,1771
6375,5708
3330,1797
6468,2823
6548,349
6372,5804
6508,1588
6468,2834
3303,2643
3328,1868
3219,5247
6382,5499
6473,2678
6373,5777
6373,5776
6509,1567
6379,5597
6371,5844
6490,2153
6372,5811
6477,2561
1208,2061
1200,2310
6494,2040
6374,5760
6382,5512
6483,2380
6504,1729
6509,1572
4250,6066
6370,5888
6506,1671
6496,1981
6477,2569
6473,2693
6375,5730
6388,5334
6523,1149
6506,1676
6464,2977
6509,1582
6548,372
6504,1735
6371,5865
6470,2795
3305,2604
6553,221
6367,5986
6385,5428
6473,2707
6467,2892
6485,2334
3306,2580
6379,5618
6553,224
6473,2711
6504,1750
6388,5344
6467,2895
6470,2802
6509,1593
6374,5777
6472,2746
6389,5319
6470,2806
5418,2649
6375,5750
6473,2718
6553,238
6485,2345
6385,5445
6472,2748
6464,2996
6470,2809
6473,2716
3306,2591
6502,1823
6470,2815
6375,5760
6474,2690
6468,2876
3296,2906
6375,5758
3383,211
1269,209
6492,2136
6466,2942
5438,2042
6553,250
6379,5644
6530,963
6490,2202
3306,2604
6380,5618
6374,5804
6381,5587
2247,2666
6372,5864
6468,2887
6380,5615
6477,2615
6498,1964
6375,5777
6376,5745
6375,5776
6497,1993
6508,1652
6389,5341
1192,2609
212,221
6470,2829
6392,5247
6504,1775
6385,5471
6474,2712
6485,2371
6486,2338
6368,5995
6372,5878
6502,1847
6473,2746
6548,421
6390,5319
6382,5566
6488,2280
6553,265
6381,5597
6494,2093
6468,2906
6533,890
6506,1726
6548,424
3306,2623
6390,5328
5429,2350
3218,5353
3296,2935
6485,2381
6368,6008
6546,489
6487,2318
6368,6014
6372,5890
6382,5579
6468,2913
6468,2912
6385,5485
6490,2230
6468,2917
6501,1894
6387,5428
6382,5583
6369,5986
6553,281
6479,2575
1183,2912
6464,3039
6553,287
6381,5618
6375,5804
6375,5803
6373,5864
6506,1741
212,250
6498,1995
6541,661
6553,289
5456,1527
6487,2334
6390,5341
6504,1814
2270,1993
6482,2493
6372,5903
6373,5878
4042,12604
6372,5908
2238,2992
6470,2869
6381,5635
6509,1666
6506,1759
6375,5820
6553,302
3321,2190
6538,772
6473,2787
6470,2880
6473,2785
5455,1574
6498,2009
6492,2202
6468,2945
6502,1891
6468,2944
6483,2479
6474,2758
6373,5888
6438,3873
3310,2539
6374,5864
6509,1678
6392,5305
6485,2421
6370,5986
6381,5644
6464,3071
6514,1527
6473,2798
6470,2890
6382,5618
5451,1710
6470,2889
6504,1842
3265,3947
6498,2025
6372,5938
6548,482
6510,1660
6395,5225
1271,226
6553,326
5412,2930
6487,2371
6504,1844
3318,2308
6553,324
6467,2997
6468,2966
6466,3028
6374,5878
6538,794
6487,2381
6485,2442
6374,5882
6506,1790
6387,5479
6492,2230
6374,5888
6541,711
6495,2136
6539,772
6502,1918
3306,2692
6476,2723
6468,2971
6548,496
6374,5890
6502,1921
6553,347
6497,2082
6375,5864
3338,1705
6477,2701
6379,5738
5412,2953
1270,281
6375,5868
6467,3015
4266,5709
6495,2153
6482,2555
6498,2064
6373,5938
6468,2993
6509,1722
6553,357
6502,1938
6379,5750
1110,5252
6381,5695
6506,1819
6393,5321
1268,357
6539,794
6470,2940
6479,2661
5444,1977
6372,5975
6488,2379
6488,2386
6470,2944
6477,2726
6440,3873
6390,5428
6487,2421
6474,2824
6466,3071
6494,2201
6473,2852
6375,5890
6392,5363
3306,2727
6385,5587
3318,2358
216,215
6487,2424
6395,5276
6467,3043
6387,5523
6473,2857
6381,5708
3296,3041
6379,5777
5449,1838
6395,5280
6380,5745
6379,5776
6548,536
6393,5341
4271,5586
6532,1031
6468,3015
6553,387
6470,2959
6467,3052
6375,5903
6516,1532
6501,1996
4283,5219
6494,2219
6498,2094
6491,2311
6548,544
6385,5597
1230,1563
6487,2434
6467,3054
3303,2836
6389,5479
6504,1913
6530,1107
6468,3027
3318,2375
6381,5730
6372,6008
1226,1695
6487,2442
6388,5518
6490,2356
6488,2417
6487,2447
6392,5398
6380,5769
6373,5986
6381,5738
6396,5273
6470,2979
3318,2385
6500,2048
6495,2202
6482,2612
6382,5712
6379,5804
6473,2890
6379,5803
6502,1990
6396,5275
6477,2764
5418,2826
6397,5251
5488,661
6523,1344
3301,2920
214,315
6553,419
6381,5750
6470,2991
6485,2526
6468,3051
6391,5445
6485,2531
6474,2871
6370,6094
6470,2993
6494,2256
3297,3056
6488,2440
6515,1609
6542,772
6380,5792
6485,2537
6468,3063
6506,1892
6504,1954
6474,2884
3318,2414
6517,1550
5449,1891
6504,1952
6472,2944
6495,2230
6560,221
6477,2793
6392,5428
6395,5335
6470,3015
6474,2890
5446,1989
6502,2021
6470,3020
3320,2364
6560,228
6381,5777
6504,1964
6381,5776
6504,1969
6373,6030
6373,6029
6548,604
6498,2154
6382,5750
6372,6059
3300,2989
6553,455
6372,6066
6473,2935
6396,5321
6488,2469
6477,2809
6488,2468
6542,794
6486,2530
6371,6094
6488,2474
6502,2040
6494,2287
1092,5908
6395,5355
6394,5392
6506,1920
6560,244
6477,2816
6501,2079
6385,5674
6473,2945
6473,2944
6509,1835
6486,2548
6553,471
6376,5957
6390,5523
6379,5864
6382,5769
6379,5868
1262,654
6477,2829
6381,5804
6490,2425
6487,2525
6368,6214
6388,5592
6494,2306
6397,5319
6560,265
6374,6030
5439,2246
6374,6029
6502,2061
6553,480
6488,2502
6385,5695
6515,1664
6500,2128
6370,6157
6470,3064
6487,2537
6509,1854
6560,273
3306,2844
6374,6044
6491,2416
6397,5330
6379,5888
6473,2979
6376,5986
6385,5706
6474,2946
6485,2604
6395,5394
6487,2549
6502,2084
6382,5804
4271,5708
1206,2417
6508,1896
6476,2888
6546,722
6395,5403
1229,1710
6375,6029
6494,2340
6473,2990
6374,6059
6504,2029
5449,1967
6375,6027
6560,291
6387,5654
6501,2120
6502,2094
6553,513
5450,1937
6375,6030
6514,1721
6504,2038
6541,890
5451,1913
6534,1105
6483,2692
6385,5730
6553,522
1233,1601
6395,5419
6397,5363
6553,531
6532,1182
6504,2049
6494,2358
6386,5705
6487,2580
6560,317
3362,1149
1265,621
6487,2579
5339,5398
6381,5864
6378,5957
6395,5437
6509,1903
6553,538
6401,5250
6485,2646
6504,2056
6506,1994
3306,2892
6560,319
6381,5868
6560,326
6385,5750
6477,2898
6474,2991
6380,5904
6399,5321
6381,5878
6560,329
6486,2621
200,882
3336,1972
6385,5758
6504,2068
6388,5663
6560,331
1275,329
6482,2756
6382,5855
6401,5266
6384,5792
6477,2909
6473,3039
6495,2356
6397,5394
6487,2604
6523,1486
6381,5888
6510,1896
6478,2888
6553,563
6379,5957
6398,5368
6488,2576
6387,5706
5438,2358
6399,5341
5433,2518
4270,5803
6532,1217
6538,1031
6522,1527
1225,1894
221,250
6560,347
222,221
6402,5251
6517,1686
6488,2584
6501,2181
6385,5777
5342,5341
6385,5776
6395,5466
6482,2776
6514,1784
6560,357
6392,5565
6494,2403
6485,2680
6487,2618
6388,5693
6373,6157
6502,2158
6560,359
6488,2598
6488,2597
6548,736
6395,5479
6372,6192
6486,2663
6373,6166
6502,2167
6474,3035
1204,2564
6374,6134
6388,5699
6477,2940
6485,2692
6484,2723
6380,5947
223,209
6506,2045
6553,595
1206,2509
6380,5957
6402,5273
6392,5583
5447,2111
6504,2116
6403,5247
6386,5774
6539,1031
6488,2618
3347,1682
6497,2337
6400,5344
6372,6211
6487,2646
6485,2715
6381,5938
6388,5720
6387,5750
6560,387
6373,6184
6494,2433
1206,2524
5429,2687
6500,2257
6388,5728
6516,1759
6373,6192
6509,1976
6373,6199
3306,2969
6372,6228
6375,6134
6474,3065
6477,2979
6380,5986
6389,5706
6495,2425
3306,2978
6395,5524
6384,5864
6402,5305
6485,2732
5449,2087
6388,5744
6485,2736
6488,2643
6374,6177
6374,6184
5438,2431
3394,258
6498,2337
6492,2530
6395,5536
6402,5319
6510,1971
6398,5443
6400,5380
6379,6030
5505,357
6397,5479
6374,6192
6375,6161
6490,2596
6498,2347
6393,5601
1280,265
1208,2498
6374,6196
6496,2411
6506,2108
6504,2170
6401,5363
6560,433
6374,6199
6402,5330
6485,2757
6524,1548
5509,250
6553,654
6487,2700
6560,437
6494,2483
6404,5273
6375,6177
6388,5774
6499,2331
6385,5864
3317,2673
225,221
6372,6272
6504,2180
6402,5341
6385,5868
225,224
6375,6184
6477,3022
6386,5842
6379,6059
3306,3020
6404,5288
6477,3024
6506,2132
6488,2690
6396,5542
6373,6254
6477,3030
6498,2379
6560,455
6374,6228
3351,1635
6517,1794
6395,5576
6487,2729
1239,1574
6477,3038
6402,5363
6498,2386
6396,5548
6375,6199
3336,2105
6397,5523
6487,2731
6488,2700
6402,5372
6542,1031
6406,5247
6487,2736
6397,5524
6488,2703
6504,2207
6381,6027
5447,2212
6403,5344
6553,693
6560,482
5333,5750
6381,6030
6390,5750
6381,6029
5346,5345
6494,2532
6402,5384
6499,2377
6400,5443
6382,6008
6375,6225
6388,5821
3306,3057
6395,5603
3351,1665
6395,5602
6487,2757
6526,1548
6375,6228
6506,2166
6517,1830
6477,3069
6486,2789
6504,2238
6403,5368
6387,5864
6392,5709
6402,5398
6538,1182
6395,5621
6553,723
6404,5341
3338,2084
6389,5804
6381,6059
6385,5935
6548,882
6374,6280
6396,5597
6397,5565
6398,5533
6500,2376
6546,949
3338,2095
6509,2102
6532,1389
5433,2691
5443,2381
3397,271
6487,2782
3317,2750
1284,238
6402,5424
6452,3873
6393,5706
6506,2202
6488,2760
6487,2790
6386,5921
6516,1898
6485,2858
6504,2268
6560,531
6539,1182
6396,5621
1201,2825
6538,1217
6392,5750
6504,2275
6379,6157
1099,5994
6482,2962
6502,2342
6498,2466
3323,2589
6522,1721
6494,2589
1281,355
4278,5750
6397,5603
5455,2036
3338,2125
6382,6066
6488,2780
3395,361
5337,5693
3318,2750
6498,2474
6502,2350
6488,2783
6517,1884
6485,2882
6498,2479
3352,1699
6509,2137
1228,2009
6379,6166
6404,5398
6506,2235
6385,5986
6517,1893
6528,1551
6539,1217
6397,5618
6373,6362
3318,2761
6391,5803
6494,2610
6382,6081
6394,5709
6389,5864
6501,2399
6494,2616
6398,5592
6485,2894
1238,1710
5337,5715
6395,5683
5451,2179
6395,5689
6379,6184
6400,5533
6393,5750
6402,5471
6509,2153
6387,5935
5339,5654
6504,2307
6502,2375
6380,6157
6517,1910
6403,5443
6382,6094
6514,2001
6492,2683
6494,2621
6382,6093
6485,2900
6502,2380
6495,2596
6502,2379
6498,2502
6504,2316
6527,1609
6403,5453
6381,6134
6488,2817
6394,5729
6553,800
6553,806
6487,2851
6379,6199
6389,5888
6402,5485
3383,772
6409,5275
6382,6112
6401,5523
6390,5864
6488,2824
6404,5428
6548,963
6504,2334
3401,221
6487,2860
6374,6362
6398,5617
6502,2399
6397,5654
6546,1033
6522,1784
6509,2185
6488,2836
5331,5935
6404,5445
6487,2872
6514,2035
6494,2654
6381,6157
6485,2933
6408,5319
6501,2436
6409,5295
6502,2411
3383,794
1209,2656
6381,6166
6379,6228
6485,2941
6524,1731
3317,2846
6485,2947
6573,219
5451,2232
6502,2419
6487,2882
6529,1580
6400,5586
6515,2021
6542,1182
6485,2949
1279,496
6387,5986
3401,250
6517,1963
6516,1993
6485,2954
6408,5341
1274,654
3402,221
6548,1000
6381,6177
6375,6362
6385,6059
6395,5749
3336,2271
6506,2306
6494,2678
6400,5592
6395,5746
6487,2894
6487,2900
6509,2218
6378,6279
6376,6340
6401,5565
6381,6184
6404,5471
6487,2905
3394,482
6485,2964
6492,2747
5337,5785
3351,1819
6485,2969
6381,6192
6498,2565
6381,6199
6409,5330
6498,2569
6494,2693
6392,5855
6498,2576
3344,2044
6485,2978
5448,2358
6553,869
6488,2884
6524,1767
6408,5363
6517,1984
6394,5804
6494,2704
3402,250
6400,5617
5339,5741
6392,5864
6573,252
6560,661
6485,2985
6566,474
6403,5526
6542,1217
6412,5247
2275,2424
6487,2929
6396,5750
6403,5533
6488,2897
6487,2933
6485,2994
6485,2992
6553,890
6488,2905
6412,5261
3395,482
6506,2346
6502,2469
5331,6008
6398,5699
6524,1793
6509,2257
6502,2474
6381,6225
6509,2256
6409,5363
6502,2479
6392,5888
6381,6228
6502,2484
2277,2385
6396,5769
3323,2726
1120,5484
6487,2947
6485,3009
6515,2085
6393,5867
6402,5587
6504,2424
6398,5709
6393,5864
6504,2430
6528,1686
5459,2056
5468,1778
3317,2920
6396,5776
6487,2954
6378,6340
6485,3023
1206,2829
6397,5750
3358,1656
6500,2555
6494,2741
6488,2927
6497,2654
6485,3026
6494,2746
3351,1877
6402,5597
6487,2969
6398,5728
6404,5542
3355,1755
6381,6254
6502,2502
6385,6134
6396,5792
6538,1389
6485,3032
6514,2140
6494,2758
6404,5548
6393,5888
6504,2447
3213,6166
6485,3042
6395,5832
6409,5398
6390,5986
6399,5706
6403,5589
1239,1830
6402,5618
5508,563
2266,2764
5470,1747
6403,5592
4280,5868
6487,2992
1277,661
1288,324
6385,6157
6488,2963
5434,2870
6539,1389
3318,2934
5460,2069
6374,6503
6402,5635
6548,1107
6385,6166
6502,2539
6402,5644
6400,5705
4280,5890
6506,2418
4298,5330
6486,3044
6531,1649
6488,2986
6485,3077
6398,5774
6500,2612
6404,5587
6397,5804
6509,2339
6508,2370
6406,5532
6517,2089
1206,2891
1283,504
6414,5288
5337,5906
6510,2311
6575,295
6399,5750
6487,3029
1243,1750
6522,1943
6494,2809
235,234
6399,5760
6487,3032
6498,2690
6400,5728
6375,6503
6385,6192
1225,2315
5455,2261
6490,2942
5359,5234
6385,6196
6402,5669
6502,2576
6498,2700
1115,5730
3355,1827
6548,1149
6501,2611
6394,5927
1206,2914
6415,5275
1127,5365
6502,2584
6400,5744
6488,3015
6381,6338
6498,2711
6404,5625
6560,788
6494,2834
1216,2613
6575,322
6389,6094
4280,5938
3351,1966
6406,5565
6374,6557
6381,6340
6409,5479
2275,2559
6509,2378
5460,2127
6504,2531
6553,1012
6397,5855
6494,2847
6385,6225
6398,5821
6502,2597
3338,2379
6374,6572
6524,1920
6508,2416
6575,339
1294,211
6488,3035
6385,6228
6402,5708
6374,6576
2308,1548
6498,2731
6393,5986
6402,5706
6504,2544
6573,405
6487,3077
6400,5774
6506,2488
6537,1527
1127,5394
6395,5928
6381,6362
6502,2611
6490,2982
6509,2393
6397,5864
6488,3043
6488,3050
6414,5341
3330,2643
6401,5750
6396,5904
1115,5776
6415,5319
5446,2589
6522,2001
6504,2559
3351,2003
6385,6254
5337,5975
6573,431
